,0,1,2,3,4,5,6,7,8,9,10,11
Adventure and Outdoors,POI4,POI5,POI6,POI8,POI12,POI14,POI17,POI29,,,,
Spiritual,POI13,POI34,POI35,POI36,POI40,POI45,,,,,,
Relaxing,POI7,POI10,POI15,POI16,POI18,POI22,POI27,POI32,POI33,POI37,POI39,POI41
City Life,POI23,POI24,POI25,POI26,POI38,POI44,POI46,POI2,POI30,POI43,,
Cultural,POI3,POI9,POI11,POI20,POI28,POI42,POI44,POI47,POI19,,,
