,0,1,2,3,4,5,6,7,8,9,10,11,12
Adventure and Outdoors,POI17,POI18,POI23,POI30,POI31,POI32,POI33,POI34,POI35,POI36,POI37,POI38,
Spiritual,POI5,POI8,POI12,POI15,POI19,POI21,POI24,POI25,POI27,POI29,POI39,POI40,
Relaxing,POI1,POI3,POI4,POI6,POI10,POI11,POI41,POI42,POI43,POI44,POI45,POI46,
City Life,POI20,POI26,POI28,,,,,,,,,,
Cultural,POI16,POI22,POI9,POI2,POI7,POI14,,,,,,,
