,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Adventure and Outdoors,POI13,POI22,POI24,POI37,,,,,,,,,,,,,,,,,,
Spiritual,POI3,POI8,POI17,POI27,POI30,POI33,POI49,,,,,,,,,,,,,,,
Relaxing,POI7,POI10,POI11,POI12,POI16,POI38,POI43,POI44,,,,,,,,,,,,,,
City Life,POI5,POI14,POI15,POI28,POI29,POI31,POI32,POI34,,,,,,,,,,,,,,
Cultural,POI1,POI2,POI4,POI6,POI9,POI18,POI19,POI20,POI21,POI23,POI25,POI26,POI35,POI36,POI39,POI40,POI41,POI42,POI45,POI46,POI47,POI48
