PID,POI1,POI2,POI3,POI4,POI5,POI6,POI7,POI8,POI9,POI10,POI11,POI12,POI13,POI14,POI15,POI16,POI17,POI18,POI19,POI20,POI21,POI22,POI23,POI24,POI25,POI26,POI27,POI28,POI29,POI30,POI31,POI32,POI33,POI34,POI35,POI36,POI37,POI38,POI39,POI40,POI41,POI42,POI43,POI44,POI45,POI46,POI47
POI34,1.421971338,6.878579383,1.011588063,15.23702025,2.538418467,33.87768742,0.8624250046,2.417349242,42.25361369,14.09563367,16.5919922,1.728657726,3.144106743,5.684529314,8.198699914,21.98818247,34.21623842,60.15192482,2.162464817,5.876245679,8.504697489,1.413469205,4.041935986,11.01354569,5.69948179,11.43603017,2.168078063,7.380244746,8.337433378,10.62303146,8.813362214,7.016780188,1.551186949,0,,,,,,,,,,,,,
POI35,5.479604118,12.87821377,6.241553368,19.55050519,7.271873028,34.01624621,6.851468809,4.373869764,40.99569077,10.93398953,22.58563162,4.546676668,8.298483155,11.04364296,14.11357561,16.49621575,30.49126004,53.9308546,6.228523165,1.419433544,11.17510719,5.272750699,9.612408355,9.774204326,10.64570956,7.321040867,4.631835761,12.93624718,13.88545449,15.23221469,14.94652741,7.732278836,6.25702869,6.275186082,0,,,,,,,,,,,,
POI36,19.97367392,27.32494823,20.68590557,33.83002741,21.84681485,32.77176254,20.8244044,18.93166672,35.68988582,11.14032316,37.05774733,18.83972352,22.86741605,23.69035629,27.08922501,3.293255859,20.18814469,42.2498611,19.56194684,15.64802471,25.15559899,19.74467126,24.15568468,14.91273917,22.9495693,10.35068169,19.17688012,27.50956909,28.46322467,29.70430091,29.29477996,21.37902366,20.78127779,20.48203725,14.58681241,0,,,,,,,,,,,
POI37,12.14301911,14.39003244,12.45031664,12.75869322,11.31177774,46.67455547,14.24668404,11.76888813,54.04906122,23.9627458,20.76700317,13.02417381,11.52141747,18.66173881,19.94775735,27.2619787,42.91882661,56.01434203,15.38368151,11.68447109,6.657800695,12.28111389,12.17702635,22.60439369,18.9369308,20.24898341,11.84418331,12.87606681,13.22039621,11.17042423,16.20909006,6.436713021,11.91519663,13.44367763,13.06722579,24.45401117,0,,,,,,,,,,
POI38,5.881229508,13.26096282,6.659228656,19.65852438,7.594241226,34.49100594,7.3731971,4.739953223,41.3562918,11.21435799,22.94295672,5.03611772,8.624975993,11.64014313,14.68099855,16.34874056,30.60579371,53.40487766,6.821027066,1.353262892,11.18556788,5.688149646,9.957886979,10.25374301,11.25662855,7.534084989,5.007628572,13.24594755,14.18760831,15.40197898,15.35334638,7.640428088,6.633349207,6.761741708,0.633442874,14.33614702,12.7495737,0,,,,,,,,,
POI39,0.9314206579,8.23640145,1.723447403,15.36162827,2.631049883,35.13021953,3.087448811,0.288929017,43.09566779,14.05257885,17.92661715,1.315081102,3.647109495,7.910580819,10.41399943,20.99471239,34.11846061,58.20373698,3.722009023,3.921228615,7.660372498,0.8394418473,4.950233501,11.55230561,7.863762643,10.95577972,0.127581547,8.28925643,9.244016006,10.87187455,10.33853246,5.320812116,1.610462476,2.245057496,4.662285684,19.2203731,11.71796254,5.024714655,0,,,,,,,,
POI40,0.3248774997,7.701893911,1.121032337,15.10416645,2.228901049,34.95930893,2.536495568,0.8561851606,43.04951143,14.22429603,17.41265493,1.233817838,3.206472328,7.363078541,9.815608515,21.4086686,34.32437999,58.8002594,3.366491682,4.504217154,7.640215835,0.2777946169,4.464209633,11.56097538,7.35280177,11.22990149,0.5784751836,7.833437153,8.793267642,10.57152431,9.784350251,5.586978082,1.089589836,1.679456318,5.176635034,19.69168798,12.01749773,5.568996222,0.6089943647,0,,,,,,,
POI41,114.3349693,119.7490609,114.690731,129.1457483,116.2920243,86.07654566,113.6609455,113.8187318,74.81230734,99.99533025,127.6765711,112.9845339,117.0526331,112.9076174,115.3038251,95.91310365,80.08231705,102.4199938,111.9190572,111.9730924,121.5862291,114.0838055,117.8611296,102.9570679,112.0003746,103.2985154,113.9422534,120.919789,121.7954175,124.5232872,120.7568552,118.3003029,115.084158,113.9152375,110.568034,99.00949125,122.889786,110.688066,114.0473941,114.2037667,0,,,,,,
POI42,16.70918363,18.89546686,16.53370149,28.89569144,17.9593328,18.68756387,14.81835956,17.03784842,28.24242047,11.83443123,25.56412224,15.77860737,18.20053417,11.75600286,13.36564495,22.16895804,25.82998287,65.13882967,13.45600749,18.18478604,23.91039216,16.54917,18.33503488,8.660873299,11.01305645,13.75095788,16.95690706,20.47835704,21.15246384,24.511456,19.28489597,22.38762469,17.07178233,15.52258079,17.21651376,22.97405818,28.80107556,17.80406863,17.08311433,16.80448841,102.1901314,0,,,,,
POI43,17.12261795,19.18155294,16.93538072,29.1824689,18.34881041,18.3819882,15.21099043,17.46663697,28.0465463,12.26725441,25.71170338,16.20608116,18.57392502,12.05769034,13.56993326,22.56511496,25.95697694,65.55261096,13.86875331,18.64754678,24.290637,16.96549555,18.68514229,9.135225531,11.33289535,14.22236996,17.38229162,20.78072148,21.44227655,24.8194352,19.52582589,22.807566,17.47415296,15.92389296,17.68608227,23.40440514,29.22566955,18.2749688,17.5082449,17.22233983,102.0882334,0.4808675107,0,,,,
POI44,14.69257541,21.8497555,15.33263239,29.23966245,16.66669765,29.52449978,15.19939806,13.77582501,34.27802979,5.72166802,31.53221581,13.44367816,17.64943766,17.68626029,21.08973155,7.018877789,21.37593605,48.22134208,13.79194385,10.99062144,20.82623438,14.44695508,18.85623463,8.943461026,16.91595639,4.233917974,13.99001099,22.24620185,23.20948254,24.87257794,23.71057782,17.2293408,15.51670256,14.97398093,9.694006931,6.11820324,21.549506,9.640779117,14.05637734,14.44480434,101.36187,17.33108264,17.78378529,0,,,
POI45,40.42474168,47.43527424,41.04067644,54.92085864,42.41024035,34.79623039,40.73646185,39.52560566,30.45853961,27.41733965,56.98539413,39.15022574,43.3841029,42.31181763,45.59432482,18.92338417,13.34217643,37.84901942,39.18525107,36.61305035,46.35743393,40.17644573,44.56318137,31.64577049,41.42552006,29.22270485,39.73791989,47.9510676,48.91415019,50.61054305,49.1684737,42.62971044,41.24904725,40.60887271,35.38809624,21.38249344,45.7894107,35.26241929,39.8055975,40.18449307,79.11159839,36.45593919,36.69807396,25.75021261,0,,
POI46,8.24370553,15.63869044,8.986206738,22.26297901,10.07306317,33.30006641,9.399638631,7.16564897,39.62616384,9.358790117,25.36067826,7.208019486,11.09767747,13.17555346,16.40705341,13.74384409,28.22544752,51.56237813,8.48468695,3.95530125,13.76221896,8.025923385,12.40280036,9.333721859,12.64856452,5.564791732,7.417794976,15.73786416,16.6885185,17.99938407,17.67854621,10.15040073,9.0363375,8.916407061,2.805520295,11.78132792,14.81882294,2.604983043,7.454557997,7.949552255,108.2957051,17.55846383,18.03849278,7.079709036,32.65788006,0,
POI47,11.95466277,7.538380083,11.53624682,2.981892982,9.957276747,45.00274165,12.58179418,12.63938239,54.10129379,26.31401658,9.916034155,13.3081201,9.158339129,14.56618438,13.85942203,33.06535036,46.43472183,66.50460337,14.32011394,15.36889959,5.994819125,12.20960989,8.404499728,23.28363024,15.30879299,23.33505893,12.4690014,5.84891654,5.289938805,1.804705359,8.031424532,9.759235378,11.17244243,12.29428689,16.59358094,30.93797809,10.9993002,16.71662731,12.37973737,12.12457132,126.2094325,26.3159688,26.623378,26.27654951,51.97599962,19.32157729,0
