,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Adventure and Outdoors,POI6,POI9,POI13,POI15,POI16,POI25,POI30,POI31,POI32,POI33,POI34,POI36,POI42,POI43,POI46,POI47
Spiritual,POI1,POI3,POI5,POI27,POI38,POI40,POI41,,,,,,,,,
Relaxing,POI11,POI12,POI18,POI20,POI21,POI23,,,,,,,,,,
City Life,POI2,POI4,POI7,POI8,POI10,POI14,POI17,POI19,POI24,POI26,POI28,POI29,POI35,POI37,POI45,
Cultural,POI22,POI39,POI44,,,,,,,,,,,,,
