HID,"Lat,Lng"
HID744,"15.5003650102,73.826564912"
HID745,"14.9979373705,74.0396227632"
HID746,"15.5089941746,73.8432539813"
HID747,"15.5089941746,73.8432539813"
HID748,"15.5089941746,73.8432539813"
HID749,"15.5089941746,73.8432539813"
HID750,"15.5431419137,73.7631852433"
HID751,"15.5355439483,73.7589602088"
HID752,"15.5431419137,73.7631852433"
HID753,"15.5355439483,73.7589602088"
HID754,"15.5431419137,73.7631852433"
HID755,"15.5355439483,73.7589602088"
HID756,"15.5431419137,73.7631852433"
HID757,"15.5355439483,73.7589602088"
HID758,"15.3975510633,73.812788103"
HID759,"15.3975510633,73.812788103"
HID760,"15.3975510633,73.812788103"
HID761,"15.3975510633,73.812788103"
HID762,"15.5638141402,73.7636840836"
HID763,"15.5638141402,73.7636840836"
HID764,"15.5638141402,73.7636840836"
HID765,"15.5638141402,73.7636840836"
HID766,"15.5494718,73.744731"
HID767,"15.5362796484,73.7630048307"
HID768,"15.5494718,73.744731"
HID769,"15.5362796484,73.7630048307"
HID770,"15.5494718,73.744731"
HID771,"15.5362796484,73.7630048307"
HID772,"15.5494718,73.744731"
HID773,"15.5362796484,73.7630048307"
HID774,"15.52930191,73.7647665801"
HID775,"15.52930191,73.7647665801"
HID776,"15.52930191,73.7647665801"
HID777,"15.52930191,73.7647665801"
HID778,"15.517015,73.7686433"
HID779,"15.517015,73.7686433"
HID780,"15.517015,73.7686433"
HID781,"15.517015,73.7686433"
HID782,"15.5155791637,73.7693225376"
HID783,"15.4978127407,73.8276103549"
HID784,"15.5155791637,73.7693225376"
HID785,"15.4978127407,73.8276103549"
HID786,"15.5155791637,73.7693225376"
HID787,"15.4978127407,73.8276103549"
HID788,"15.5155791637,73.7693225376"
HID789,"15.4978127407,73.8276103549"
HID790,"15.6003637,73.7475256"
HID791,"15.6003637,73.7475256"
HID792,"15.6003637,73.7475256"
HID793,"15.6003637,73.7475256"
HID794,"15.4628222397,73.8106710717"
HID795,"15.4628222397,73.8106710717"
HID796,"15.4628222397,73.8106710717"
HID797,"15.4628222397,73.8106710717"
HID798,"15.571971557,73.7603652341"
HID799,"15.571971557,73.7603652341"
HID800,"15.571971557,73.7603652341"
HID801,"15.571971557,73.7603652341"
HID802,"15.2386938383,73.9299314687"
HID803,"15.2386938383,73.9299314687"
HID804,"15.2386938383,73.9299314687"
HID805,"15.2386938383,73.9299314687"
HID806,"15.5513316,73.759737"
HID807,"15.5513316,73.759737"
HID808,"15.5513316,73.759737"
HID809,"15.5513316,73.759737"
HID810,"15.0046790507,74.031705355"
HID811,"15.0046790507,74.031705355"
HID812,"15.0046790507,74.031705355"
HID813,"15.0046790507,74.031705355"
HID814,"15.53534889,73.76164246"
HID815,"15.53534889,73.76164246"
HID816,"15.53534889,73.76164246"
HID817,"15.53534889,73.76164246"
HID818,"15.5297189957,73.76657477"
HID819,"15.5297189957,73.76657477"
HID820,"15.5297189957,73.76657477"
HID821,"15.5297189957,73.76657477"
HID822,"15.5559842,73.7563561"
HID823,"15.5559842,73.7563561"
HID824,"15.5559842,73.7563561"
HID825,"15.5559842,73.7563561"
HID826,"15.5297608,73.7656205"
HID827,"15.5297608,73.7656205"
HID828,"15.5297608,73.7656205"
HID829,"15.5297608,73.7656205"
HID830,"15.5449921337,73.7576598927"
HID831,"15.5449921337,73.7576598927"
HID832,"15.5449921337,73.7576598927"
HID833,"15.5449921337,73.7576598927"
HID834,"15.2778974,73.9139546"
HID835,"15.2778974,73.9139546"
HID836,"15.2778974,73.9139546"
HID837,"15.2778974,73.9139546"
HID838,"15.5877487561,73.7652048892"
HID839,"15.5877487561,73.7652048892"
HID840,"15.5877487561,73.7652048892"
HID841,"15.5877487561,73.7652048892"
HID842,"15.2689671,73.9527583"
HID843,"15.2689671,73.9527583"
HID844,"15.2689671,73.9527583"
HID845,"15.2689671,73.9527583"
HID846,"15.532476,73.761608"
HID847,"15.532476,73.761608"
HID848,"15.532476,73.761608"
HID849,"15.532476,73.761608"
HID850,"15.57147884,73.75791168"
HID851,"15.57147884,73.75791168"
HID852,"15.57147884,73.75791168"
HID853,"15.57147884,73.75791168"
HID854,"15.5103209482,73.7681665682"
HID855,"15.5103209482,73.7681665682"
HID856,"15.5103209482,73.7681665682"
HID857,"15.5103209482,73.7681665682"
HID858,"15.5992816,73.745992"
HID859,"15.5992816,73.745992"
HID860,"15.5992816,73.745992"
HID861,"15.5992816,73.745992"
HID862,"15.5466436404,73.760776648"
HID863,"15.5466436404,73.760776648"
HID864,"15.5466436404,73.760776648"
HID865,"15.5466436404,73.760776648"
HID866,"15.4586072,73.8167385"
HID867,"15.4586072,73.8167385"
HID868,"15.4586072,73.8167385"
HID869,"15.4586072,73.8167385"
HID870,"15.5441869361,73.7610998208"
HID871,"15.5441869361,73.7610998208"
HID872,"15.5441869361,73.7610998208"
HID873,"15.5441869361,73.7610998208"
HID874,"15.5434203262,73.7628405454"
HID875,"15.5434203262,73.7628405454"
HID876,"15.5434203262,73.7628405454"
HID877,"15.5434203262,73.7628405454"
HID878,"15.5511903868,73.7553377654"
HID879,"15.5511903868,73.7553377654"
HID880,"15.5511903868,73.7553377654"
