,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Adventure and Outdoors,POI3,POI4,POI12,POI24,POI35,POI36,POI38,,,,,,,,,,,,,
Spirtual,POI8,POI17,POI30,POI39,POI42,POI43,POI45,,,,,,,,,,,,,
Relaxing,POI1,POI5,POI6,POI9,POI10,POI11,POI13,POI14,POI15,POI23,POI25,POI26,POI29,POI31,POI32,POI33,POI40,POI41,POI44,POI47
City Life,POI22,POI7,POI16,POI18,POI21,POI27,POI46,,,,,,,,,,,,,
Cultural,POI2,POI34,,,,,,,,,,,,,,,,,,
