0,sorted priority,PID,POIs
33,0.6582400048980152,POI34,FORT TIRACOL
1,0.6514391532506655,POI2,FORT AGUADA
38,0.40021981512584387,POI39,CHURCH OF STCAJETAN
41,0.39527374120049874,POI42,SRI MAHADEVA TEMPLE
42,0.39527374120049874,POI43,CHURCH OF ST FRANCIS OF ASSISI
44,0.39527374120049874,POI45,CHURCH OF ST AUGUSTINE
5,0.38232934276057184,POI6,CHAPORA FORT
20,0.19418699889662885,POI21,CLUB LPK - LOVE PASSION KARMA
29,0.17074848088581993,POI30,SE CATHEDRAL
6,0.1279593395264497,POI7,THALASSA
15,0.12795933952644967,POI16,FONTAINHAS AND SAO TOME
17,0.12795933952644967,POI18,TITO'S NIGHTCLUB
26,0.08994786046663739,POI27,CASINO
7,0.05783099002936382,POI8,BASILICA OF BOM JESUS
16,0.05783099002936382,POI17,CHURCH OF OUR LADY OF THE IMMACULATE CONCEPTION
45,0.007213024474461696,POI46,SAVOI SPICE PLANTATION
